,time,set point,output,process,set point test,output test,process test
334,"6,67999999999995",2,"20,02",2,5,"49,97","5,0014"
335,"6,69999999999995",2,"20,02",2,5,"49,985","5,0005"
336,"6,71999999999995",2,"20,02",2,5,"49,998","4,9998"
337,"6,73999999999994",2,"20,02",2,5,"50,01","4,9991"
338,"6,75999999999994",2,"20,02",2,5,"50,021","4,9986"
339,"6,77999999999994",2,"20,02",2,5,"50,03","4,9981"
340,"6,79999999999994",2,"20,02",2,5,"50,039","4,9977"
341,"6,81999999999994",2,"20,02",2,5,"50,047","4,9974"
342,"6,83999999999994",2,"20,02",2,5,"50,053","4,9972"
343,"6,85999999999994",2,"20,02",2,5,"50,059","4,9971"
344,"6,87999999999994",2,"20,02",2,5,"50,064","4,997"
345,"6,89999999999994",2,"20,02",2,5,"50,068","4,9969"
346,"6,91999999999994",2,"20,02",2,5,"50,072","4,9969"
347,"6,93999999999994",2,"20,02",2,5,"50,075","4,9969"
348,"6,95999999999994",2,"20,02",2,5,"50,077","4,997"
349,"6,97999999999994",2,"20,02",2,5,"50,079","4,997"
350,"6,99999999999994",6,"82,848",2,5,"50,08","4,9972"
351,"7,01999999999994",6,"86,446",2,5,"50,081","4,9973"
352,"7,03999999999994",6,"89,338","2,0232",5,"50,081","4,9974"
353,"7,05999999999994",6,"91,595","2,0873",5,"50,082","4,9976"
354,"7,07999999999994",6,"93,283","2,1854",5,"50,081","4,9977"
355,"7,09999999999994",6,"94,462","2,3113",5,"50,081","4,9979"
356,"7,11999999999994",6,"95,19","2,4597",5,"50,08","4,998"
357,"7,13999999999994",6,"95,52","2,6256",5,"50,08","4,9982"
358,"7,15999999999994",6,"95,501","2,8048",5,"50,079","4,9984"
359,"7,17999999999994",6,"95,178","2,9937",5,"50,078","4,9985"
360,"7,19999999999993",6,"94,593","3,1888",5,"50,077","4,9987"
361,"7,21999999999993",6,"93,783","3,3874",5,"50,075","4,9988"
362,"7,23999999999993",6,"92,786","3,5869",5,"50,074","4,999"
363,"7,25999999999993",6,"91,632","3,7853",5,"50,073","4,9991"
364,"7,27999999999993",6,"90,351","3,9807",5,"50,071","4,9993"
365,"7,29999999999993",6,"88,969","4,1716",5,"50,07","4,9994"
366,"7,31999999999993",6,"87,512","4,3567",5,"50,069","4,9995"
367,"7,33999999999993",6,"85,999","4,5351",5,"50,067","4,9996"
368,"7,35999999999993",6,"84,452","4,7058",5,"50,066","4,9997"
369,"7,37999999999993",6,"82,886","4,8683",5,"50,065","4,9998"
370,"7,39999999999993",6,"81,317","5,022",5,"50,063","4,9999"
371,"7,41999999999993",6,"79,758","5,1666",5,"50,062",5
372,"7,43999999999993",6,"78,222","5,3019",5,"50,061","5,0001"
373,"7,45999999999993",6,"76,717","5,4279",5,"50,06","5,0001"
374,"7,47999999999993",6,"75,253","5,5445",5,"50,059","5,0002"
375,"7,49999999999993",6,"73,837","5,6518",5,"50,058","5,0003"
376,"7,51999999999993",6,"72,474","5,75",5,"50,057","5,0003"
377,"7,53999999999993",6,"71,169","5,8393",5,"50,056","5,0003"
378,"7,55999999999993",6,"69,927","5,92",5,"50,055","5,0004"
379,"7,57999999999993",6,"68,749","5,9923",5,"50,054","5,0004"
380,"7,59999999999993",6,"67,638","6,0567",5,"50,053","5,0004"
381,"7,61999999999993",6,"66,594","6,1136",5,"50,053","5,0004"
382,"7,63999999999993",6,"65,619","6,1633",5,"50,052","5,0005"
383,"7,65999999999992",6,"64,712","6,2062",5,"50,052","5,0005"
384,"7,67999999999992",6,"63,872","6,2427",5,"50,051","5,0005"
385,"7,69999999999992",6,"63,098","6,2734",5,"50,051","5,0005"
386,"7,71999999999992",6,"62,389","6,2986",5,"50,05","5,0005"
387,"7,73999999999992",6,"61,743","6,3187",5,"50,05","5,0005"
388,"7,75999999999992",6,"61,158","6,3341",5,"50,05","5,0005"
389,"7,77999999999992",6,"60,63","6,3453",5,"50,049","5,0005"
390,"7,79999999999992",6,"60,159","6,3526",5,"50,049","5,0005"
391,"7,81999999999992",6,"59,74","6,3565",5,"50,049","5,0004"
392,"7,83999999999992",6,"59,372","6,3572",5,"50,049","5,0004"
393,"7,85999999999992",6,"59,051","6,3551",5,"50,049","5,0004"
394,"7,87999999999992",6,"58,774","6,3506",5,"50,048","5,0004"
395,"7,89999999999992",6,"58,539","6,3439",5,"50,048","5,0004"
396,"7,91999999999992",6,"58,343","6,3354",5,"50,048","5,0004"
397,"7,93999999999992",6,"58,181","6,3254",5,"50,048","5,0004"
398,"7,95999999999992",6,"58,053","6,314",5,"50,048","5,0003"
399,"7,97999999999992",6,"57,955","6,3015",5,"50,048","5,0003"
400,"7,99999999999992",6,"57,884","6,2882",5,"50,048","5,0003"
401,"8,01999999999992",6,"57,838","6,2741",5,"50,048","5,0003"
402,"8,03999999999992",6,"57,814","6,2597",5,"50,048","5,0003"
403,"8,05999999999992",6,"57,81","6,2448",5,"50,048","5,0003"
404,"8,07999999999992",6,"57,824","6,2299",5,"50,048","5,0002"
405,"8,09999999999992",6,"57,854","6,2148",5,"50,048","5,0002"
406,"8,11999999999992",6,"57,897","6,1999",5,"50,048","5,0002"
407,"8,13999999999992",6,"57,951","6,1852",5,"50,048","5,0002"
408,"8,15999999999992",6,"58,016","6,1707",5,"50,049","5,0002"
409,"8,17999999999991",6,"58,089","6,1566",5,"50,049","5,0002"
410,"8,19999999999991",6,"58,168","6,1429",5,"50,049","5,0002"
411,"8,21999999999991",6,"58,253","6,1297",5,"50,049","5,0001"
412,"8,23999999999991",6,"58,342","6,117",5,"50,049","5,0001"
413,"8,25999999999991",6,"58,434","6,1049",5,"50,049","5,0001"
414,"8,27999999999991",6,"58,528","6,0933",5,"50,049","5,0001"
415,"8,29999999999991",6,"58,623","6,0824",5,"50,049","5,0001"
416,"8,31999999999991",6,"58,719","6,0721",5,"50,049","5,0001"
417,"8,33999999999991",6,"58,813","6,0624",5,"50,049","5,0001"
418,"8,35999999999991",6,"58,906","6,0534",5,"50,049","5,0001"
419,"8,37999999999991",6,"58,998","6,045",5,"50,049","5,0001"
420,"8,39999999999991",6,"59,087","6,0372",5,"50,049","5,0001"
421,"8,41999999999991",6,"59,173","6,03",5,"50,049","5,0001"
422,"8,43999999999991",6,"59,256","6,0234",5,"50,049",5
423,"8,45999999999991",6,"59,336","6,0174",5,"50,05",5
424,"8,47999999999991",6,"59,412","6,012",5,"50,05",5
425,"8,49999999999991",6,"59,485","6,0071",5,"50,05",5
426,"8,51999999999991",6,"59,554","6,0027",5,"50,05",5
427,"8,53999999999991",6,"59,618","5,9988",5,"50,05",5
428,"8,55999999999991",6,"59,679","5,9953",5,"50,05",5
429,"8,57999999999991",6,"59,735","5,9923",5,"50,05",5
430,"8,59999999999991",6,"59,788","5,9897",5,"50,05",5
431,"8,61999999999991",6,"59,836","5,9875",5,"50,05",5
432,"8,6399999999999",6,"59,881","5,9856",5,"50,05",5
433,"8,6599999999999",6,"59,922","5,984",5,"50,05",5
434,"8,6799999999999",6,"59,96","5,9828",5,"50,05",5
435,"8,6999999999999",6,"59,993","5,9818",5,"50,05",5
436,"8,7199999999999",6,"60,024","5,9811",5,"50,05",5
437,"8,7399999999999",6,"60,051","5,9806",5,"50,05",5
438,"8,7599999999999",6,"60,075","5,9803",5,"50,05",5
439,"8,7799999999999",6,"60,097","5,9802",5,"50,05",5
440,"8,7999999999999",6,"60,115","5,9803",5,"50,05",5
441,"8,8199999999999",6,"60,131","5,9805",5,"50,05",5
442,"8,8399999999999",6,"60,145","5,9808",5,"50,05",5
443,"8,8599999999999",6,"60,156","5,9813",5,"50,05",5
444,"8,8799999999999",6,"60,166","5,9818",5,"50,05",5
445,"8,8999999999999",6,"60,173","5,9824",5,"50,05",5
446,"8,9199999999999",6,"60,179","5,9831",5,"50,05",5
447,"8,9399999999999",6,"60,183","5,9839",5,"50,05",5
448,"8,9599999999999",6,"60,186","5,9846",5,"50,05",5
449,"8,9799999999999",6,"60,187","5,9854",5,"50,05",5
450,"8,9999999999999",6,"60,187","5,9863",5,"50,05",5
451,"9,0199999999999",6,"60,187","5,9871",5,"50,05",5
452,"9,0399999999999",6,"60,185","5,9879",5,"50,05",5
453,"9,0599999999999",6,"60,183","5,9888",5,"50,05",5
454,"9,0799999999999",6,"60,18","5,9896",5,"50,05",5
455,"9,0999999999999",6,"60,176","5,9904",5,"50,05",5
456,"9,11999999999989",6,"60,172","5,9912",5,"50,05",5
457,"9,13999999999989",6,"60,168","5,992",5,"50,05",5
458,"9,15999999999989",6,"60,163","5,9927",5,"50,05",5
459,"9,17999999999989",6,"60,158","5,9934",5,"50,05",5
460,"9,19999999999989",6,"60,152","5,9941",5,"50,05",5
461,"9,21999999999989",6,"60,147","5,9948",5,"50,05",5
462,"9,23999999999989",6,"60,142","5,9954",5,"50,05",5
463,"9,25999999999989",6,"60,136","5,996",5,"50,05",5
464,"9,27999999999989",6,"60,131","5,9965",5,"50,05",5
